,bike_name,price,kms_driven,owner,age,power,city_code,brand_code
0,TVS Star City,35000,17654,0,3,110,0,0
1,Royal Enfield Classic,119900,11000,0,4,350,1,1
2,Triumph Daytona 675R,600000,110,0,8,675,1,2
3,TVS Apache RTR,65000,16329,0,4,180,2,0
4,Yamaha FZ S,80000,10000,0,3,150,2,3
5,Yamaha FZs 150cc,53499,25000,0,6,150,1,3
6,Honda CB Hornet,85000,8200,0,3,160,1,4
7,Hero Splendor Plus,45000,12645,0,3,100,1,5
8,Royal Enfield Thunderbird,145000,9190,0,3,350,2,1
9,Royal Enfield Classic,88000,19000,1,7,500,1,1
10,Yamaha YZF-R15 2.0,72000,20000,0,7,150,2,3
11,Yamaha FZ25 250cc,95000,9665,0,4,250,2,3
12,Bajaj Pulsar NS200,78000,9900,0,4,200,2,6
13,Bajaj Discover 100M,29499,20000,0,8,100,1,6
14,Bajaj Discover 125M,29900,20000,0,7,125,1,6
15,Bajaj Pulsar NS200,90000,11574,0,3,200,2,6
16,Bajaj Pulsar RS200,120000,23000,0,3,200,2,6
17,Suzuki Gixxer SF,48000,24725,0,5,150,3,7
18,Benelli 302R 300CC,240000,15025,1,3,302,3,8
19,Bajaj Discover 125M,29900,20000,0,7,125,1,6
20,Bajaj Pulsar RS200,120000,23000,0,3,200,2,6
21,Suzuki Gixxer SF,48000,24725,0,5,150,3,7
22,Hero Splendor iSmart,46500,3500,0,2,110,1,5
23,Royal Enfield Classic,121700,24520,0,5,500,4,1
24,Yamaha FZ V,45000,23000,0,6,150,1,3
25,Bajaj Pulsar NS200,78000,9900,0,4,200,2,6
26,Hero Super Splendor,20000,29305,0,16,125,0,5
27,Honda CBF Stunner,20800,30500,1,7,125,5,4
28,Bajaj Pulsar 150cc,50000,19000,0,8,150,2,6
29,Honda X-Blade 160CC,81200,9100,0,2,160,6,4
30,Bajaj Pulsar NS200,88000,21914,0,3,200,7,6
31,Yamaha YZF-R15 2.0,80000,20000,1,4,150,8,3
32,Bajaj Avenger 220cc,40900,15000,0,6,220,9,6
33,KTM RC 390cc,180000,17700,0,4,390,10,9
34,Honda CB Unicorn,40000,30000,0,8,150,11,4
35,KTM Duke 200cc,70000,100000,1,8,200,12,9
36,Royal Enfield Classic,98800,39000,0,5,350,13,1
37,Honda CBR 150R,65000,43000,0,6,150,14,4
38,Royal Enfield Thunderbird,190500,4550,0,2,500,15,1
39,KTM RC 200cc,179000,3400,0,2,200,2,9
40,Royal Enfield Thunderbird,70000,45000,0,8,350,16,1
41,Bajaj Avenger 220cc,45000,36100,0,6,220,7,6
42,Royal Enfield Bullet,78000,8500,0,13,350,17,1
43,Bajaj Avenger Street,110000,2550,0,2,220,2,6
44,Royal Enfield Classic,85000,18000,0,6,350,1,1
45,Bajaj Pulsar NS200,38000,35000,0,9,200,1,6
46,Royal Enfield Thunderbird,55346,38000,0,10,350,11,1
47,Mahindra Centuro NXT,28000,45000,0,2,110,18,10
48,Hero Hunk 150cc,37000,10800,0,8,150,3,5
49,Suzuki Gixxer SF,97000,4400,0,3,150,1,7
50,Yamaha FZ 150cc,40000,357000,0,8,150,19,3
51,Royal Enfield‎ Bullet,90000,15300,0,7,350,1,1
52,TVS Apache RTR,60000,30000,0,5,160,3,0
53,Honda CB Shine,21900,30000,1,7,125,20,4
54,Bajaj Avenger 220cc,40000,64000,0,7,220,0,6
55,Benelli TNT 600i,475000,11500,1,3,600,3,8
56,Honda Dream Yuga,34500,17056,0,5,110,0,4
57,Yamaha SZ 150cc,25000,172082,0,9,150,21,3
58,Suzuki Gixxer 150cc,30200,45000,0,7,150,2,7
59,Bajaj Avenger Cruise,65000,35000,0,5,220,22,6
60,Bajaj Pulsar 150cc,25000,38000,0,9,150,3,6
61,Kawasaki Z900,935000,2500,0,2,900,23,11
62,Royal Enfield Bullet,107100,15438,1,3,350,1,1
63,Bajaj Pulsar 220cc,80000,6000,0,3,220,1,6
64,Royal Enfield Thunderbird,88000,19000,0,5,350,1,1
65,KTM Duke 200cc,94700,32700,0,4,200,24,9
66,Hero CD Deluxe,12200,46643,0,14,100,25,5
67,Royal Enfield Classic,106000,19000,0,6,350,1,1
68,Bajaj Pulsar 220cc,29500,40700,0,12,220,7,6
69,Kawasaki Ninja 650cc,290000,11350,0,7,650,26,11
70,Royal Enfield Thunderbird,110000,1600,0,6,350,1,1
71,Bajaj Platina 125cc,27000,44410,0,10,125,27,6
72,Royal Enfield Thunderbird,65000,9800,0,11,350,28,1
73,Royal Enfield Thunderbird,150000,15000,0,3,350,2,1
74,Hero Karizma ZMR,55786,68000,1,7,223,29,5
